,GDP,CPI,Interest,Net Income Margin,Diluted EPS,Current Ratio,Cash Conversion Cycle,Debt to Equity,Volume,Unemployment,MA30,MA7,RSI,ADX,ATR,OBV,Walmart,S&P500
2016-04-18,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.93,11.05,0.5548313021013982,22753500.0,5.1,,19.284053530011857,50.0,,0.0846370733166575,21366900.0,19.592145919799805,2094.340087890625
2016-04-19,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.93,11.05,0.5548313021013982,19868700.0,5.1,,19.382611683436803,58.468628451002246,,0.094617111292644,41235600.0,19.5669059753418,2100.800048828125
2016-04-20,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.93,11.05,0.5548313021013982,24598200.0,5.1,,19.42147418430873,57.29298187311419,,0.0896615993758842,16637400.0,19.40984916687012,2102.39990234375
2016-04-21,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.93,11.05,0.5548313021013982,16237500.0,5.1,,19.42387635367257,50.48982066315298,,0.0944755428827268,399900.0,19.202322006225582,2091.47998046875
2016-04-22,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.93,11.05,0.5548313021013982,19852800.0,5.1,,19.410655430385045,43.19167909560328,,0.1025506584371414,-19452900.0,19.272432327270508,2091.580078125
2016-04-23,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.93,11.05,0.5548313021013982,18645300.0,5.1,,19.3970331464495,46.0299445708304,,0.1002334914805543,-807600.0,19.272432327270508,2091.580078125
2016-04-24,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.93,11.05,0.5548313021013982,18645300.0,5.1,,19.38341086251395,46.0299445708304,,0.0930739563748004,-807600.0,19.272432327270508,2091.580078125
2016-04-25,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.93,11.05,0.5548313021013982,18645300.0,5.1,,19.369788578578405,46.0299445708304,,0.0864258166337432,-807600.0,19.48277473449707,2087.7900390625
2016-04-26,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.93,11.05,0.5548313021013982,17688600.0,5.1,,19.35416412353516,54.54061134651591,,0.0952770016760874,16881000.0,19.43509292602539,2091.699951171875
2016-04-27,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.93,11.05,0.5548313021013982,19945200.0,5.1,,19.335333687918528,52.51882039745568,,0.0918773450186297,-3064200.0,19.468748092651367,2095.14990234375
2016-04-28,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.93,11.05,0.5548313021013982,15441900.0,5.1,,19.34374782017299,53.82004848312935,,0.0877186179905831,12377700.0,19.32571792602539,2075.81005859375
2016-04-29,0.0407173937558917,0.0117262575035348,0.37,3.53,,0.93,11.05,0.5548313021013982,14330700.0,5.1,,19.36137580871582,47.82187390887902,7.286335117929885,0.0916694428931112,-1953000.0,18.75360107421875,2065.300048828125
2016-04-30,0.0407173937558917,0.0117262575035348,0.3,3.53,,0.93,11.05,0.5548313021013982,36297000.0,5.1,,19.287257058279856,32.310253671657634,9.33345936576764,0.1259871149583633,-38250000.0,18.75360107421875,2065.300048828125
2016-05-01,0.0407173937558917,0.0117262575035348,0.3,3.53,0.33,0.84,11.88,0.5951156151135575,36297000.0,5.1,19.27617251078288,19.213138307843888,32.31025367165763,11.234360453045555,0.1169880353184802,-38250000.0,18.75360107421875,2065.300048828125
